Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,TotalCases1M ,Deaths1M ,TotalTests,Tests1M,WHORegion
USA,North America,331198130,5032179,0,162804,0,2576668,0,2292707,18296,15194,492,63139605,190640,Americas
Brazil,South America,212710692,2917562,0,98644,0,2047660,0,771258,8318,13716,464,13206188,62085,Americas
India,Asia,1381344997,2025409,0,41638,0,1377384,0,606387,8944,1466,30,22149351,16035,South-EastAsia
Russia,Europe,145940924,871894,0,14606,0,676357,0,180931,2300,5974,100,29716907,203623,Europe
South Africa,Africa,59381566,538184,0,9604,0,387316,0,141264,539,9063,162,3149807,53044,Africa
Mexico,North America,129066160,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,Americas
Peru,South America,33016319,455409,0,20424,0,310337,0,124648,1426,13793,619,2493429,75521,Americas
Chile,South America,19132514,366671,0,9889,0,340168,0,16614,1358,19165,517,1760615,92022,Americas
Colombia,South America,50936262,357710,0,11939,0,192355,0,153416,1493,7023,234,1801835,35374,Americas
Spain,Europe,46756648,354530,0,28500,0,0,0,0,617,7582,610,7064329,151087,Europe
Iran,Asia,84097623,320117,0,17976,0,277463,0,24678,4156,3806,214,2612763,31068,Eastern Mediterranean
UK,Europe,67922029,308134,0,46413,0,0,0,0,73,4537,683,17515234,257873,Europe
Saudi Arabia,Asia,34865919,284226,0,3055,0,247089,0,34082,1915,8152,88,3635705,104277,Eastern Mediterranean
Pakistan,Asia,221295851,281863,0,6035,0,256058,0,19770,809,1274,27,2058872,9304,Eastern Mediterranean
Bangladesh,Asia,164851401,249651,0,3306,0,143824,0,102521,0,1514,20,1225124,7432,South-EastAsia
Italy,Europe,60452568,249204,0,35187,0,201323,0,12694,42,4122,582,7099713,117443,Europe
Turkey,Asia,84428331,237265,0,5798,0,220546,0,10921,580,2810,69,5081802,60191,Europe
Argentina,South America,45236884,228195,0,4251,0,99852,0,124092,1150,5044,94,794544,17564,Americas
Germany,Europe,83811260,215210,0,9252,0,196200,0,9758,236,2568,110,8586648,102452,Europe
France,Europe,65288306,195633,0,30312,0,82460,0,82861,384,2996,464,3992206,61147,Europe
Iraq,Asia,40306025,140603,0,5161,0,101025,0,34417,517,3488,128,1092741,27111,Eastern Mediterranean
Philippines,Asia,109722719,119460,0,2150,0,66837,0,50473,239,1089,20,1669996,15220,Western Pacific
Indonesia,Asia,273808365,118753,0,5521,0,75645,0,37587,0,434,20,1633156,5965,South-EastAsia
Canada,North America,37775022,118561,0,8966,0,103106,0,6489,2263,3139,237,4319172,114339,Americas
Qatar,Asia,2807805,112092,0,178,0,108831,0,3083,77,39922,63,511000,181993,Eastern Mediterranean
Kazakhstan,Asia,18798667,95942,0,1058,0,68871,0,26013,221,5104,56,2163713,115099,Europe
Egypt,Africa,102516525,95006,0,4951,0,48898,0,41157,41,927,48,135000,1317,Eastern Mediterranean
Ecuador,South America,17668824,90537,0,5877,0,71318,0,13342,378,5124,333,258582,14635,Americas
Bolivia,South America,11688459,86423,0,3465,80,27373,936,55585,71,7394,296,183583,15706,Americas
Sweden,Europe,10105596,81967,0,5766,0,0,0,0,38,8111,571,863315,85429,Europe
Oman,Asia,5118446,80713,0,492,0,70910,0,9311,177,15769,96,309212,60411,Eastern Mediterranean
Israel,Asia,9197590,79559,0,576,0,53427,0,25556,358,8650,63,1872453,203581,Europe
Ukraine,Europe,43705858,76808,0,1819,0,42524,0,32465,158,1757,42,1116641,25549,Europe
Dominican Republic,North America,10858648,76536,0,1246,0,40539,0,34751,317,7048,115,281926,25963,Americas
Panama,North America,4321282,71418,0,1574,0,45658,0,24186,161,16527,364,240995,55769,Americas
Belgium,Europe,11594739,71158,0,9859,0,17661,0,43638,61,6137,850,1767120,152407,Europe
Kuwait,Asia,4276658,70045,0,469,0,61610,0,7966,127,16378,110,522200,122105,Eastern Mediterranean
Belarus,Europe,9449001,68503,0,580,0,63756,0,4167,0,7250,61,1344303,142269,Europe
UAE,Asia,9902079,61845,0,354,0,55739,0,5752,0,6246,36,5262658,531470,Eastern Mediterranean
Romania,Europe,19224023,57895,0,2566,0,28992,0,26337,458,3012,133,1319369,68631,Europe
Netherlands,Europe,17138756,56982,0,6153,0,0,0,0,37,3325,359,1079860,63007,Europe
Singapore,Asia,5854932,54555,0,27,0,48031,0,6497,0,9318,5,1474372,251817,Western Pacific
Guatemala,North America,17946899,54339,0,2119,0,42070,0,10150,5,3028,118,172712,9624,Americas
Portugal,Europe,10193593,52061,0,1743,0,37840,0,12478,42,5107,171,1705474,167308,Europe
Poland,Europe,37842302,49515,0,1774,0,35642,0,12099,72,1308,47,2374686,62752,Europe
Nigeria,Africa,206606300,45244,0,930,0,32430,0,11884,7,219,5,306894,1485,Africa
Honduras,North America,9919704,45098,0,1423,0,6116,0,37559,52,4546,143,109292,11018,Americas
Bahrain,Asia,1706669,42889,0,156,0,39945,0,2788,41,25130,91,876700,513691,Eastern Mediterranean
Japan,Asia,126435859,42263,0,1026,0,28877,0,12360,115,334,8,938739,7425,Western Pacific
Armenia,Asia,2963811,39819,0,772,0,31556,0,7491,0,13435,260,171600,57898,Europe
Ghana,Africa,31133483,39642,0,199,0,36384,0,3059,7,1273,6,405817,13035,Africa
Kyrgyzstan,Asia,6534479,38659,0,1447,0,30099,0,7113,24,5916,221,267718,40970,Europe
Afghanistan,Asia,39009447,36896,0,1298,0,25840,0,9758,31,946,33,90396,2317,Eastern Mediterranean
Switzerland,Europe,8660952,36108,0,1985,0,31600,0,2523,23,4169,229,822764,94997,Europe
Algeria,Africa,43926079,33626,0,1273,0,23238,0,9115,57,766,29,0,0,Africa
Azerbaijan,Asia,10148243,33247,0,479,0,29275,0,3493,66,3276,47,766179,75499,Europe
Morocco,Africa,36953359,29644,0,449,0,20553,0,8642,31,802,12,1383816,37448,Eastern Mediterranean
Uzbekistan,Asia,33516027,28315,0,175,0,19291,0,8849,228,845,5,1377915,41112,Europe
Serbia,Europe,8733665,27332,0,621,0,14047,0,12664,120,3129,71,723137,82799,Europe
Moldova,Europe,4032983,26628,0,828,0,18676,0,7124,362,6603,205,128076,31757,Europe
Ireland,Europe,4943200,26372,0,1768,0,23364,0,1240,5,5335,358,652917,132084,Europe
Kenya,Africa,53881160,24411,0,399,0,10444,0,13568,44,453,7,335318,6223,Africa
Venezuela,South America,28427499,22299,0,195,0,12146,0,9958,42,784,7,1567431,55138,Americas
Nepal,Asia,29186486,21750,0,65,0,15389,0,6296,0,745,2,731977,25079,South-EastAsia
Austria,Europe,9011577,21696,0,719,0,19596,0,1381,25,2408,80,937275,104008,Europe
Costa Rica,North America,5098730,21070,0,200,0,7038,0,13832,103,4132,39,96110,18850,Americas
Ethiopia,Africa,115223736,20900,0,365,0,9027,0,11508,185,181,3,468814,4069,Africa
Australia,Australia/Oceania,25528864,19890,0,255,0,10941,0,8694,52,779,10,4631419,181419,Western Pacific
El Salvador,North America,6489514,19126,0,513,0,9236,0,9377,509,2947,79,251271,38720,Americas
Czechia,Europe,10711019,17731,0,390,0,12320,0,5021,17,1655,36,728670,68030,Europe
Cameroon,Africa,26606188,17718,0,391,0,15320,0,2007,30,666,15,149000,5600,Africa
Ivory Coast,Africa,26437950,16447,0,103,0,12484,0,3860,0,622,4,104584,3956,Africa
S. Korea,Asia,51273732,14519,20,303,1,13543,42,673,18,283,6,1613652,31471,Western Pacific
Denmark,Europe,5794279,14306,0,617,0,12787,0,902,2,2469,106,1654512,285542,Europe
Palestine,Asia,5112340,13398,0,92,0,6907,0,6399,0,2621,18,200280,39176,Eastern Mediterranean
Bosnia and Herzegovina,Europe,3278650,13396,0,384,0,7042,0,5970,0,4086,117,147021,44842,Europe
Bulgaria,Europe,6942854,13014,0,435,0,7374,0,5205,47,1874,63,294087,42358,Europe
Madagascar,Africa,27755708,12526,0,134,0,10148,0,2244,88,451,5,46301,1668,Africa
Sudan,Africa,43943536,11780,0,763,0,6194,0,4823,0,268,17,401,9,Eastern Mediterranean
North Macedonia,Europe,2083365,11399,0,517,0,7480,0,3402,3,5471,248,109946,52773,Europe
Senegal,Africa,16783877,10715,0,223,0,7101,0,3391,33,638,13,114761,6838,Africa
Norway,Europe,5425471,9468,0,256,0,8857,0,355,3,1745,47,472841,87152,Europe
DRC,Africa,89802183,9309,0,215,0,8048,0,1046,0,104,2,0,0,Africa
Malaysia,Asia,32406372,9038,0,125,0,8713,0,200,2,279,4,991333,30591,Western Pacific
French Guiana,South America,299385,8127,0,47,0,7240,0,840,23,27146,157,41412,138324,Americas
Gabon,Africa,2230563,7787,0,51,0,5609,0,2127,11,3491,23,85369,38272,Africa
Tajikistan,Asia,9557468,7665,0,62,0,6443,0,1160,0,802,6,0,0,Europe
Guinea,Africa,13164905,7664,0,49,0,6757,0,858,24,582,4,14407,1094,Africa
Haiti,North America,11416103,7544,0,171,0,4832,0,2541,0,661,15,18443,1616,Americas
Finland,Europe,5541604,7532,0,331,0,6980,0,221,0,1359,60,389500,70287,Europe
Zambia,Africa,18430129,7164,0,199,0,5786,0,1179,0,389,11,90307,4900,Africa
Luxembourg,Europe,626952,7073,0,119,0,5750,0,1204,9,11282,190,623994,995282,Europe
Mauritania,Africa,4660728,6444,0,157,0,5291,0,996,3,1383,34,57387,12313,Africa
Paraguay,South America,7141091,6375,0,66,0,4974,0,1335,23,893,9,135277,18943,Americas
Albania,Europe,2877470,6016,0,188,0,3155,0,2673,23,2091,65,38997,13553,Europe
Lebanon,Asia,6822220,5672,0,70,0,1974,0,3628,46,831,10,345268,50609,Eastern Mediterranean
Croatia,Europe,4102577,5404,0,155,0,4688,0,561,7,1317,38,125317,30546,Europe
Djibouti,Africa,989387,5330,0,59,0,5057,0,214,0,5387,60,59909,60552,Eastern Mediterranean
Greece,Europe,10417673,5123,0,210,0,1374,0,3539,14,492,20,619393,59456,Europe
Libya,Africa,6880353,4879,0,107,0,652,0,4120,0,709,16,59699,8677,Eastern Mediterranean
Equatorial Guinea,Africa,1407001,4821,0,83,0,2182,0,2556,0,3426,59,44356,31525,Africa
Maldives,Asia,541448,4680,0,19,0,2725,0,1936,12,8643,35,85587,158071,South-EastAsia
Hungary,Europe,9657785,4597,0,600,0,3463,0,534,8,476,62,352546,36504,Europe
Malawi,Africa,19174839,4491,0,137,0,2137,0,2217,4,234,7,33466,1745,Africa
Zimbabwe,Africa,14883803,4339,0,84,0,1264,0,2991,0,292,6,140421,9434,Africa
Nicaragua,North America,6632263,3902,0,123,0,2913,0,866,0,588,19,0,0,Americas
Hong Kong,Asia,7503041,3850,0,46,0,2458,0,1346,39,513,6,692430,92287,Western Pacific
Congo,Africa,5530506,3546,0,58,0,1589,0,1899,0,641,10,0,0,Africa
Montenegro,Europe,628074,3480,0,60,0,2178,0,1242,0,5541,96,38427,61182,Europe
Thailand,Asia,69817894,3330,0,58,0,3148,0,124,1,48,0.8,749213,10731,South-EastAsia
Somalia,Africa,15933012,3227,0,93,0,1728,0,1406,2,203,6,0,0,Eastern Mediterranean
Mayotte,Africa,273419,3042,0,39,0,2738,0,265,2,11126,143,13000,47546,Africa
Eswatini,Africa,1161348,2968,0,55,0,1476,0,1437,5,2556,47,20784,17896,Africa
Sri Lanka,Asia,21422362,2839,0,11,0,2541,0,287,1,133,0.5,166737,7783,South-EastAsia
Cuba,North America,11325899,2775,0,88,0,2409,0,278,4,245,8,285471,25205,Americas
Cabo Verde,Africa,556581,2734,0,27,0,2010,0,697,0,4912,49,61633,110735,Africa
Namibia,Africa,2545264,2652,0,15,0,563,0,2074,24,1042,6,29233,11485,Africa
Mali,Africa,20302901,2552,0,124,0,1954,0,474,0,126,6,25152,1239,Africa
Slovakia,Europe,5459915,2480,0,29,0,1824,0,627,2,454,5,272322,49877,Europe
South Sudan,Africa,11206572,2450,0,47,0,1175,0,1228,0,219,4,12044,1075,Africa
Slovenia,Europe,2078968,2223,0,125,0,1909,0,189,2,1069,60,135702,65274,Europe
Lithuania,Europe,2718121,2171,0,81,0,1656,0,434,6,799,30,540784,198955,Europe
Estonia,Europe,1326627,2124,0,63,0,1954,0,107,0,1601,47,122880,92626,Europe
Mozambique,Africa,31333962,2120,0,15,0,795,0,1310,0,68,0.5,65151,2079,Africa
Rwanda,Africa,12981546,2111,0,5,0,1258,0,848,0,163,0.4,286251,22051,Africa
Suriname,South America,587154,2096,0,29,0,1446,0,621,9,3570,49,2785,4743,Americas
Guinea-Bissau,Africa,1972277,2032,0,27,0,944,0,1061,5,1030,14,1500,761,Africa
Benin,Africa,12151976,1936,0,38,0,1600,0,298,1,159,3,93677,7709,Africa
Iceland,Europe,341465,1930,0,10,0,1825,0,95,0,5652,29,149693,438385,Europe
Sierra Leone,Africa,7992169,1877,0,67,0,1427,0,383,0,235,8,0,0,Africa
Yemen,Asia,29886897,1768,0,508,0,898,0,362,0,59,17,120,4,Eastern Mediterranean
Tunisia,Africa,11830801,1642,0,51,0,1241,0,350,9,139,4,100298,8478,Eastern Mediterranean
New Zealand,Australia/Oceania,5002100,1569,0,22,0,1524,0,23,0,314,4,486943,97348,Western Pacific
Angola,Africa,32956300,1483,0,64,0,520,0,899,20,45,2,64747,1965,Africa
Uruguay,South America,3474956,1318,0,37,0,1079,0,202,2,379,11,126956,36535,Americas
Latvia,Europe,1883936,1275,0,32,0,1070,0,173,0,677,17,207909,110359,Europe
Jordan,Asia,10213138,1232,0,11,0,1171,0,50,3,121,1,628745,61562,Eastern Mediterranean
Liberia,Africa,5068618,1224,0,78,0,705,0,441,0,241,15,0,0,Africa
Uganda,Africa,45867852,1223,0,5,0,1102,0,116,0,27,0.1,288367,6287,Africa
Cyprus,Asia,1208238,1208,0,19,0,856,0,333,0,1000,16,216597,179267,Europe
Georgia,Asia,3988368,1206,0,17,0,987,0,202,0,302,4,240473,60294,Europe
Burkina Faso,Africa,20954852,1158,0,54,0,961,0,143,0,55,3,0,0,Africa
Niger,Africa,24281433,1153,0,69,0,1057,0,27,0,47,3,9052,373,Africa
Togo,Africa,8296582,1012,0,22,0,697,0,293,2,122,3,45767,5516,Africa
Syria,Asia,17539600,999,0,48,0,311,0,640,0,57,3,0,0,Eastern Mediterranean
Jamaica,North America,2962478,958,30,12,0,745,0,201,0,323,4,41840,14123,Americas
Malta,Europe,441663,946,0,9,0,670,0,267,0,2142,20,136713,309541,Europe
Andorra,Europe,77278,944,0,52,0,828,0,64,1,12216,673,3750,48526,Europe
Chad,Africa,16467965,942,0,76,0,838,0,28,0,57,5,0,0,Africa
Gambia,Africa,2422754,935,0,16,0,136,0,783,0,386,7,5183,2139,Africa
Sao Tome and Principe,Africa,219544,878,0,15,0,797,0,66,0,3999,68,3079,14025,Africa
Botswana,Africa,2356075,804,0,2,0,63,0,739,1,341,0.8,68423,29041,Africa
Bahamas,North America,393616,761,0,14,0,91,0,656,1,1933,36,4814,12230,Americas
Vietnam,Asia,97425470,747,0,10,0,392,0,345,0,8,0.1,482456,4952,Western Pacific
Lesotho,Africa,2143943,742,0,23,0,175,0,544,0,346,11,8771,4091,Africa
San Marino,Europe,33938,699,0,42,0,657,0,0,0,20596,1238,6068,178797,Europe
Channel Islands,Europe,174022,597,0,47,0,533,0,17,0,3431,270,30721,176535,Europe
Guyana,South America,786936,538,0,22,0,189,0,327,2,684,28,5165,6563,Americas
Tanzania,Africa,59886383,509,0,21,0,183,0,305,7,8,0.4,0,0,Africa
Taiwan,Asia,23821199,477,0,7,0,443,0,27,0,20,0.3,82737,3473,Western Pacific
Comoros,Africa,871326,396,0,7,0,340,0,49,0,454,8,0,0,Africa
Burundi,Africa,11922216,395,0,1,0,304,0,90,0,33,0.08,15614,1310,Africa
Myanmar,Asia,54446389,357,0,6,0,308,0,43,0,7,0.1,122290,2246,South-EastAsia
Mauritius,Africa,1271985,344,0,10,0,334,0,0,0,270,8,205285,161389,Africa
Isle of Man,Europe,85078,336,0,24,0,312,0,0,0,3949,282,8627,101401,Europe
Mongolia,Asia,3283344,293,0,0,0,260,0,33,1,89,0,38334,11675,Western Pacific
Eritrea,Africa,3551175,282,0,0,0,225,0,57,0,79,0,0,0,Africa
Guadeloupe,North America,400131,279,0,14,0,179,0,86,0,697,35,18476,46175,Americas
Martinique,North America,375235,276,0,15,0,98,0,163,1,736,40,12227,32585,Americas
Faeroe Islands,Europe,48882,266,0,0,0,192,0,74,1,5442,0,43045,880590,Europe
Aruba,North America,106812,263,0,3,0,114,0,146,0,2462,28,14047,131511,Americas
Cambodia,Asia,16741375,243,0,0,0,210,0,33,1,15,0,67807,4050,Western Pacific
Trinidad and Tobago,North America,1399950,210,0,8,0,135,0,67,0,150,6,9559,6828,Americas
Cayman Islands,North America,65798,203,0,1,0,202,0,0,0,3085,15,31108,472780,Americas
Gibraltar,Europe,33690,190,0,0,0,184,0,6,0,5640,0,23063,684565,Americas
Papua New Guinea,Australia/Oceania,8963009,163,0,3,0,53,0,107,0,18,0.3,10808,1206,Western Pacific
Sint Maarten,North America,42924,160,0,16,0,64,0,80,3,3728,373,1115,25976,Americas
Bermuda,North America,62254,157,0,9,0,144,0,4,0,2522,145,26352,423298,Americas
Brunei ,Asia,437893,141,0,3,0,138,0,0,0,322,7,41148,93968,Asia
Barbados,North America,287411,133,0,7,0,100,0,26,0,463,24,12233,42563,Americas
Turks and Caicos,North America,38768,129,0,2,0,39,0,88,3,3327,52,1252,32295,Americas
Seychelles,Africa,98408,126,0,0,0,124,0,2,0,1280,0,0,0,Africa
Monaco,Europe,39270,125,0,4,0,105,0,16,2,3183,102,38209,972982,Europe
Bhutan,Asia,772443,105,0,0,0,93,0,12,0,136,0,54589,70671,South-EastAsia
Antigua and Barbuda,North America,98010,92,0,3,0,76,0,13,1,939,31,1500,15305,Americas
Liechtenstein,Europe,38139,89,0,1,0,85,0,3,0,2334,26,900,23598,Europe
Belize,North America,398312,86,0,2,0,31,0,53,2,216,5,3679,9236,Americas
French Polynesia,Australia/Oceania,281072,64,0,0,0,62,0,2,0,228,0,5849,20810,Western Pacific
St. Vincent Grenadines,North America,110976,56,0,0,0,46,0,10,0,505,0,2447,22050,Americas
Saint Martin,North America,38729,53,0,3,0,41,0,9,1,1368,77,1183,30546,Americas
Macao,Asia,650193,46,0,0,0,46,0,0,0,71,0,4071,6261,Asia
Fiji,Australia/Oceania,897095,27,0,1,0,18,0,8,0,30,1,6693,7461,Western Pacific
Saint Lucia,North America,183712,25,0,0,0,24,0,1,0,136,0,3895,21202,Americas
Timor-Leste,Asia,1320812,25,0,0,0,24,0,1,0,19,0,4238,3209,South-EastAsia
Grenada,North America,112576,24,0,0,0,23,0,1,0,213,0,6252,55536,Americas
New Caledonia,Australia/Oceania,285769,22,0,0,0,22,0,0,0,77,0,11099,38839,Western Pacific
Laos,Asia,7285750,20,0,0,0,19,0,1,0,3,0,29374,4032,Asia
Dominica,North America,72004,18,0,0,0,18,0,0,0,250,0,1005,13958,Americas
Saint Kitts and Nevis,North America,53237,17,0,0,0,16,0,1,0,319,0,1146,21526,Americas
Greenland,North America,56780,14,0,0,0,14,0,0,0,247,0,5977,105266,Europe
Montserrat,North America,4992,13,0,1,0,10,0,2,0,2604,200,61,12220,Americas
Caribbean Netherlands,North America,26247,13,0,0,0,7,0,6,0,495,0,424,16154,Americas
Falkland Islands,South America,3489,13,0,0,0,13,0,0,0,3726,0,1816,520493,Americas
Vatican City,Europe,801,12,0,0,0,12,0,0,0,14981,0,0,0,Europe
Western Sahara,Africa,598682,10,0,1,0,8,0,1,0,17,2,0,0,Africa
